Question,Answer,Answer_start,Answer_end,Context
The Kuruelder roared his lion’s roar and blew his conch to _.,encourage the grandfather,0,24,"['weapons.\x0cA RJUNA’S DESPAIR3Ç¥æŸ@PÄ ™Æ—ºŸé~ ∏ƒÄ ∫¤œºŸ⁄∫¿⁄’™ºÎ |¥æŸ@PÄ ⁄´∆Æº‰™Œ‰ ŸÄ ∏ƒÄ ∫¤ºŸ⁄∫¿⁄’™ºÎ || 10That force, protected by Bhima, is not a match for us, but thisforce, protected by Bhishma, is a match for them.Çæ≤‰Œ‹ ò –∆@‰Œ‹ æ¨Ÿ∫Ÿíº∆⁄—¨™ŸÅ |∫¤œºº‰∆Ÿ⁄∫¿’≥™‹ ∫∆≥™Å –∆@ ä∆ ⁄“ || 11Indeed, it is Bhishma you must all protect along all avenues ofapproach as you man your respective positions.’™—æ –Äú≤æ≥“Œ@Ä é‹¡∆‡ØÛÅ ⁄¥™Ÿº“Å |⁄–Ä“≤ŸÆÄ ⁄∆≤YËcÊÅ ÀóÌÄ Æ±ºÈ ¥˘™Ÿ¥∆Ÿ≤Î || 12In order to encourage him, grandfather, the majestic Kuruelder roared his lion’s roar and blew his conch.™™Å ÀóÌŸXŸ ∫‰æ@XŸ ¥®∆Ÿ≤éíËº‹êŸÅ |–“–Ê∆Ÿªæ“≥æ≥™ – ÀπÆ—™‹ºƒ‹ ËÉ∫∆™Î || 13Then, all of a sudden, the']"
Which of the following is TRUE according to the passage?,Arjuna's bow is a symbol of a sad state.,0,39,"['Kurus, 114, 178Joy of the Kurus, 20, 67, 133, 178Mighty-armed Prince, xvi, 17, 26,34, 38, 51, 65, 70, 93, 131, 160,180Scorcher of Enemies, 11, 13, 39, 40,47, 75, 84, 102, 116, 167, 181Son of Kunti, xvi, 4, 6, 14, 19, 24,30, 37, 55, 65, 71, 78, 80, 85–86,89–91, 122, 128, 131, 147,168–169, 171, 181Son of Pandu, 3, 5, 47, 58, 106, 116,135, 144, 181Arjuna’s bow (Gandiva), 6, 10, 178Arjuna’s Despair, 1–10Aryaman, 99, 176asat, 155ascetics, 56, 68, 79–80. See alsoausterityAshvattha (tree of life), 98, 137–138,176Ashvatthaman, 2, 176Ashvins, 104, 108, 176Asita Devala, 96, 176attachment. See also rewards (fruit ofactions), relinquishingactions free from,']"
Which of the following is TRUE according to the passage?,Brahma and Shiva are the principal deities in Hinduism.,0,54,"['the mother of Suparna, Aruna,and Garuda.Virata An ancient king. The Pandavas, forced to conceal themselvesduring the thirteenth year of their exile, journeyed to his court andentered his service in various disguises.Vishnu One of the principal deities of classical Hinduism, he is regardedas “the preserver.” Along with Brahma “the creator” and Shiva “thedestroyer”, they constitute the trimurti, or triad. Although Vishnucomes second in the triad, he is identiﬁed with the supreme deityby his worshipers, and was later accorded the foremost place amongthe Adityas. He allows a portion of his essence to become incarnateon ten principal occasions in order to deliver the']"
Which of the following is TRUE according to the passage?,Bhrigu is the son of Kunti.,0,26,"['Kurus Arjuna. Although primarily a Pandava, he is alsoa Kaurava.176\x0cNAMES AND NICKNAMES177Bharata In the Gita, Arjuna and Dhritarashtra. In the plural, thedescendants of Bharata.Bhima One of the ﬁve Pandu brothers, also called Bhimasena. He is theson of Kunti and the reputed son of Pandu, but really the son of Vayu.Bhishma The son of Shantanu and the river Ganges. He is a master ofstatecraft, and a great warrior ﬁghting for the Kauravas.Bhrigu A seer.Brahma The creator god, the demiurge who fashions the world.See also Vishnu.Brahma Sutras A work dealing with the knowledge of Brahman. Oneof the three central texts of Vedanta']"
Which of the following is TRUE according to the passage?,Rama is the father of the five Pandavas.,0,39,"['A son of Vyasa and one of the widows of Vichitravirya, he is thebrother of Dhritarashtra and Vidura. He is ostensibly the father ofthe ﬁve Pandavas, although in reality they are the sons of various gods.Paundra Bhima’s conch shell.Prahlada The king of the titans, who are not unlike the titans ofGreek mythology.Prajapati The creator. Means “lord of creatures.” In later times, thename was also applied to Vishnu, Shiva, Time personiﬁed, the sun,ﬁre, etc., as well as to lesser mythological ﬁgures.Pritha Kunti.Purujit The brother of Kuntibhoja. Fights on the side of the Pandavas.Rama This name is shared by many ﬁgures in']"
Which of the following is TRUE according to the passage?,The author thinks that the path to peace is a way to a better life.,0,66,"['132, 133–134, 166nonaction, 21195nonattachment, 65. See also attachmentnonviolence, xnot-thinking, 63Ooblation, 154–155obligation, 162om, 71, 80, 88, 98, 154om tat sat, 154oneness. See unity, attainingopposites, 21, 44, 50–51, 75Ppain, 14, 123. See also sorrowPancajanya, 4, 180Pandavas, xiii–xiv, 180Pandu, 1, 3, 5, 47, 58, 101, 106, 116,135, 144, 180Pandu, Son of (Arjuna), xiii–xiv, 3, 5,47, 58, 106, 116, 135, 144, 181passion, 23, 25, 29, 131, 163pathways, of the soul, 82–83Paundra, 4, 180peace, attaining byacknowledgment of the divine, 56discipline, 61grace, 171knowledge, 48relinquishing attachment, 52, 119worship, 91perfected ones (siddhas), xxiiperfection, 80, 119, 130, 167–169pipal tree. See Ashvattha (tree of life)pleasure, 14, 20–21, 31, 123, 126.']"
The author wrote the passage to _.,tell us a sad story,0,18,"['deeply saddened, andsaid this: ‘When I see my family willing and ready to ﬁght,Krishna, my limbs falter, my mouth goes dry. There is atrembling in my body and my hairs bristle.íŸ©•¤∆Ä –rÄ–™‰ “—™Ÿ^∆èòÊ∆ ¥⁄¿Æ“¯™‰ |≤ ò ÀéMËΩæ∆—¨Ÿ™‹Ä ∫˘º™¤∆ ò º‰ º≤Å || 30Gandiva slips from my hand, and as for my skin, it burns.I cannot stand ﬁrm, and my mind seems to whirl.⁄≤⁄º%Ÿ⁄≤ ò ¥ÕæŸ⁄º ⁄∆¥¿¤™Ÿ⁄≤ éÂÀ∆ |≤ ò Ã˘‰æËÉ≤‹¥ÕæŸ⁄º “´∆Ÿ —∆ú≤ºŸ“∆‰ || 31I see inauspicious portents, Keshava, and I see nothing goodachieved by killing my family in battle.\x0cA RJUNA’S DESPAIR7≤ éŸóx‰ ⁄∆úæÄ é‚œ® ≤ ò ¿ŸùæÄ –‹êŸ⁄≤ ò |⁄é~']"
Which of the following is TRUE according to the passage?,Sattva is a kind of happiness.,0,29,"['45, 47, 87, 173law of, 30–31moral stains destroyed by, 46the principal, 78relinquishing, 158satisfaction of desire with, 30–31selﬁsh, 153success and, 42three kinds of faith in, 149–155unity achieved through, 74, 89–91wheel of, 31, 45–46Sadhyas, 108, 181sages (seers). See also wisdomcharacteristics of, 56deﬁ ned, 23on the ﬁeld and its knower, 123origin of, 93–94, 98\x0cI NDEXpeace attained by, 56requirements for showing theknowledge, 47Yoga known by, 39yogis compared, 68Sahadeva, xiii, 4, 181samabhava (equability), xSamaveda, 98, 181sameness in all things, seeing the,54, 60, 64, 127–128, 135, 162Sanjaya, xv–xvi, 1, 11, 13, 105, 111,115, 174, 181Sankhya, 160, 181sat, 155satisfaction, 44sattva (clarity), xxiiSatyaki, 4, 181Satyaki (Yuyudhana), 2, 183Saubhadra,']"
What is the best title for the passage?,The Scorcher of Enemies,0,22,"['ººŸ¥≤‹YŸYôöËéº‹cöËŒ®⁄º⁄≥Æ˙æŸ®ŸºÎ |Ç∆Ÿµæ ∫›ºŸ∆–¥´≤º‡ØÛÄ ¿ŸùæÄ –‹¿Ÿ®Ÿº⁄¥ òŸ⁄∞¥´æºÎ || 8For I see nothing that would dispel this sorrow of mine whichdesiccates my senses, even if on earth I obtained unrivaledwealth, a kingdom, yes, even sovereignty over the gods!’ ”–Äúæ Ü∆Ÿò |ä∆º‹è´∆Ÿ „Œ¤éÂÀÄ í‹•ŸéÂÀÅ ¥¿Ä™¥ |≤ æË´—æ Ñ⁄™ íË⁄∆≥Æº‹è´∆Ÿ ™›œ®¤Ä ∏∫›∆ “ || 9Sanjaya said, “O Scorcher of Enemies, after Gudakesha said thisto Hrishikesha, he added, ‘I will not ﬁght,’ and then fell silent.™º‹∆Ÿò „Œ¤éÂÀÅ ¥˘“–⁄≤Ù∆ ∫Ÿ¿™ |–‰≤æË¡∫æËº@±æ‰ ⁄∆Œ¤Æ≥™⁄ºÆÄ ∆òÅ || 10With a hint of derision, O Bharata, Hrishikesha spoke thesewords to him as he sat despairing between the two armies.Ã˘¤∫í∆Ÿ≤‹∆Ÿò |ÇÀËôæŸ≤≥∆ÀËò—´∆Ä ¥˘◊Ÿ∆ŸÆŸÄXŸ']"
The author of the passage _.,is a philosopher,0,15,"['these twohas been perceived by those who see the basic principles.\x0cTHEORY15Ç⁄∆≤Ÿ⁄À ™‹ ™⁄Æ˝⁄ØÛ æ‰≤ –∆@⁄ºÆÄ ™™ºÎ |⁄∆≤ŸÀº…ææ—æŸ—æ ≤ é⁄XŸ´é™@‹º“@⁄™ || 17Know that this, on which all the world has been strung, isindestructible. No one can bring about the destruction of thisimperishable being.Ç≥™∆≥™ Ñº‰ Æ‰“Ÿ ⁄≤´æ—æË#ŸÅ À¿¤⁄¿®Å |Ç≤Ÿ⁄À≤ËÉ¥˘º‰æ—æ ™—ºŸY‹±æ—∆ ∫Ÿ¿™ || 18It is these bodies of the embodied, eternal, imperishable,and unfathomable self which come to an end. Thereforeﬁght, Bharata!æ ä≤Ä ∆‰⁄% “≥™Ÿ¿Ä æXŸÊ≤Ä º≥æ™‰ “™ºÎ |Ü∫È ™È ≤ ⁄∆úŸ≤¤™Ë ≤ŸæÄ “⁄≥™ ≤ “≥æ™‰ || 19He who thinks the embodied self is a slayer, and he whoimagines it is slain—neither of these']"
